  77.64600:  194.80361233 x 10^(-38) cm2
  78.78400:  197.48027448 x 10^(-38) cm2
  79.94000:  200.24771412 x 10^(-38) cm2
  81.11200:  203.14185110 x 10^(-38) cm2
  82.30100:  206.15843374 x 10^(-38) cm2
  83.50800:  209.29965626 x 10^(-38) cm2
  84.73200:  212.52798375 x 10^(-38) cm2
  85.97500:  215.81881963 x 10^(-38) cm2
  87.23500:  219.13870075 x 10^(-38) cm2
  88.51400:  222.46562370 x 10^(-38) cm2
  89.81200:  225.79386883 x 10^(-38) cm2
  91.12900:  229.11948306 x 10^(-38) cm2
  92.46500:  232.43361581 x 10^(-38) cm2
  93.82100:  235.72711437 x 10^(-38) cm2
  95.19700:  239.00482161 x 10^(-38) cm2
  96.59300:  242.28687912 x 10^(-38) cm2
  98.00900:  245.59715013 x 10^(-38) cm2
  99.44600:  248.95886525 x 10^(-38) cm2
 100.90000:  252.39573714 x 10^(-38) cm2
 102.38000:  255.93544691 x 10^(-38) cm2
 103.88000:  259.58834676 x 10^(-38) cm2
 105.41000:  263.33893708 x 10^(-38) cm2
 106.95000:  267.21339860 x 10^(-38) cm2
 108.52000:  271.19523705 x 10^(-38) cm2
 110.11000:  275.29070082 x 10^(-38) cm2
 111.73000:  279.44091675 x 10^(-38) cm2
 113.37000:  283.63425682 x 10^(-38) cm2
 115.03000:  287.82458502 x 10^(-38) cm2
 116.71000:  291.95018806 x 10^(-38) cm2
 118.43000:  295.98650051 x 10^(-38) cm2
Erange 0.0 to 118.43 sum = 21066.9528777 x 10^(-38) cm^2
